N-gram,Frequency
"('completed', 'successfully', 'server', 'availability')",4
"('tdata', 'disconnected', 'rerun', 'job')",4
"('disconnected', 'rerun', 'job', 'completed')",4
"('failed', 'due', 'login', 'time-out')",4
"('due', 'login', 'time-out', 'issue')",4
"('time-out', 'issue', 'job', 'got')",4
"('issue', 'job', 'got', 'completed')",4
"('got', 'completed', 'successfully', 're-ran')",4
"('since', 'issues', 'events', 'brj')",4
"('issues', 'events', 'brj', 'held')",4
"('events', 'brj', 'held', 'lh')",4
"('brj', 'held', 'lh', 'batched')",4
"('held', 'lh', 'batched', 'brj')",4
"('lh', 'batched', 'brj', 'running')",4
"('batched', 'brj', 'running', 'manually')",4
"('got', 'failed', 'due', 'connecitvity')",4
"('failed', 'due', 'connecitvity', 'issue')",4
"('due', 'connecitvity', 'issue', 'theen')",4
"('connecitvity', 'issue', 'theen', 'job')",4
"('issue', 'theen', 'job', 're-started')",4
"('theen', 'job', 're-started', 'completed')",4
"('job', 'got', 'hanged', 'running')",4
"('got', 'hanged', 'running', 'longer')",4
"('hanged', 'running', 'longer', 'time')",4
"('job', 'killed', 'cancelled', 'day')",4
"('failed', 'due', 'named', 'pipe')",4
"('named', 'pipe', 'error', 're-run')",4
"('source', 'file', 'available', 'rerun')",4
"('job', 'failed', 're-run', 'job')",4
"('failed', 're-run', 'job', 'completed')",4
"('got', 'failed', 'due', 'spool')",4
"('due', 'link', 'failure', 'brj.we')",4
"('link', 'failure', 'brj.we', 'ran')",4
"('failure', 'brj.we', 'ran', 'manually')",4
"('brj.we', 'ran', 'manually', 'completed')",4
"('running', 'longer', 'time', 'hence')",4
"('time', 'hence', 'job', 'aborted')",4
"('got', 'failed', 'due', 'scheduler')",4
"('failed', 'due', 'scheduler', 'ssis')",4
"('due', 'scheduler', 'ssis', 'tool')",4
"('scheduler', 'ssis', 'tool', 'related')",4
"('ssis', 'tool', 'related', 'issue')",4
"('tool', 'related', 'issue', 'issue')",4
"('related', 'issue', 'issue', 'fixed')",4
"('server', 'issues', 'job', 'terminated')",4
"('issues', 'job', 'terminated', 're-running')",4
"('job', 'terminated', 're-running', 'time')",4
"('terminated', 're-running', 'time', 'job')",4
"('re-running', 'time', 'job', 'got')",4
"('time', 'job', 'got', 'completed')",4
"('hence', 'job', 'reached', 'deadline')",4
"('abended', 'due', 'invalid', 'data')",4
"('issue', 'job', 'restarted', 'another')",4
"('job', 'restarted', 'another', 'instance')",4
"('restarted', 'another', 'instance', 'completed')",4
"('tods', 'server', 'session', 'hang')",4
"('server', 'session', 'hang', 'issue')",4
"('session', 'hang', 'issue', 'issue')",4
"('hang', 'issue', 'issue', 'fixed')",4
"('abended', 'source', 'file', 'arrived')",4
"('source', 'file', 'arrived', 'late')",4
"('file', 'arrived', 'late', 'job')",4
"('arrived', 'late', 'job', 'restarted')",4
"('abended', 'due', 'invalid', 'date')",4
"('due', 'invalid', 'date', 'issue')",4
"('server', 'issue', 'job', 'reprocessed')",4
"('job', 'failed', 'source', 'extraction')",4
"('failed', 'source', 'extraction', 'failed')",4
"('source', 'extraction', 'failed', 'job')",4
"('extraction', 'failed', 'job', 'cancelled')",4
"('failed', 'job', 'cancelled', 'day')",4
"('due', 'connection', 'issue', 'job')",4
"('job', 'cancelled', 'hence', 'held')",4
"('connection', 'issue', 'issue', 'fixed')",4
"('brj', 'connection', 'issue.on', 're-run')",4
"('connection', 'issue.on', 're-run', 'job')",4
"('issue', 'job', 'run', 'resolved')",4
"('server', 'issue', 'job', 'completed')",4
"('completed', 'successfully', 'received', 'updated')",4
"('successfully', 'received', 'updated', 'file')",4
"('tods', 'server', 'issue', 'liasing')",4
"('server', 'issue', 'liasing', 'admin')",4
"('issue', 'liasing', 'admin', 'team')",4
"('due', 'connection', 'time', 'error')",4
"('connection', 'time', 'error', 'restarted')",4
"('time', 'error', 'restarted', 'job')",4
"('error', 'restarted', 'job', 'load')",4
"('restarted', 'job', 'load', 'td')",4
"('job', 'load', 'td', 'box')",4
"('load', 'td', 'box', 'reduced')",4
"('connectivity', 'issue', 'issue', 'resolved')",4
"('file', 'available', 'job', 'successful')",4
"('available', 'job', 'successful', 're-run')",4
"('got', 'failed', 'due', 'script')",4
"('failed', 'due', 'script', 'failure')",4
"('due', 'script', 'failure', 'issue')",4
"('script', 'failure', 'issue', 'fixed')",4
"('source', 'file', 'unavailability', 'liaising')",4
"('file', 'unavailability', 'liaising', 'source')",4
"('unavailability', 'liaising', 'source', 'team')",4
"('due', 'source', 'target', 'count')",4
"('bw', 'open', 'hub', 'issue')",4
"('lock', 'occurred', 'completed', 'batch')",4
"('occurred', 'completed', 'batch', 'running')",4
"('due', 'lock', 'issue', 'lock')",4
"('due', 'huge', 'volume', 'tods')",4
"('huge', 'volume', 'tods', 'job')",4
"('volume', 'tods', 'job', 'got')",4
"('tods', 'job', 'got', 'locked')",4
"('job', 'got', 'locked', '.i.e')",4
"('got', 'locked', '.i.e', 'query')",4
"('locked', '.i.e', 'query', 'insert')",4
"('.i.e', 'query', 'insert', 'records')",4
"('query', 'insert', 'records', 'sql')",4
"('insert', 'records', 'sql', 'got')",4
"('records', 'sql', 'got', 'self')",4
"('sql', 'got', 'self', 'lock.we')",4
"('got', 'self', 'lock.we', 'killed')",4
"('self', 'lock.we', 'killed', 'job')",4
"('lock.we', 'killed', 'job', 'executed')",4
"('killed', 'job', 'executed', 'insert')",4
"('job', 'executed', 'insert', 'update')",4
"('executed', 'insert', 'update', 'script')",4
"('insert', 'update', 'script', 'manually')",4
"('session', 'issue', 'issue', 'fixed')",4
"('self', 'lock', 'occuured', 'completed')",4
"('lock', 'occuured', 'completed', 'job')",4
"('occuured', 'completed', 'job', 'running')",4
"('issue', 'issus', 'fixed', 'job')",4
"('issus', 'fixed', 'job', 're-started')",4
"('job', 'abended', 'source', 'db')",4
"('abended', 'source', 'db', 'available')",4
"('source', 'db', 'available', 'job')",4
"('db', 'available', 'job', 'restarted')",4
"('available', 'job', 'restarted', 'completed')",4
"('failed', 'due', 'saa', 'warnings')",4
"('due', 'saa', 'warnings', 'marked')",4
"('saa', 'warnings', 'marked', 'success')",4
"('manaully', 'clear', 'queue', 'run')",4
"('queue', 'file', 'stuck', 'hence')",4
"('file', 'stuck', 'hence', 'job')",4
"('stuck', 'hence', 'job', 'failed')",4
"('job', 'abended', 'running', 'long')",3
"('abended', 'running', 'long', 'time')",3
"('running', 'long', 'time', 'next')",3
"('long', 'time', 'next', 'day')",3
"('time', 'next', 'day', ""'s"")",3
"('next', 'day', ""'s"", 'backup')",3
"('day', ""'s"", 'backup', 'batch')",3
"(""'s"", 'backup', 'batch', 'covered')",3
"('backup', 'batch', 'covered', 'backlogs')",3
"('job', 'abended', 'due', 'dupllicate/null/invalid')",3
"('abended', 'due', 'dupllicate/null/invalid', 'format')",3
"('due', 'dupllicate/null/invalid', 'format', 'issue')",3
"('dupllicate/null/invalid', 'format', 'issue', 'issue')",3
"('jobs', 'failed', 'due', 'null')",3
"('due', 'null', 'values', 'completed')",3
"('null', 'values', 'completed', 're-execution')",3
"('job', 'completed', 'succefully', 'rerun')",3
"('job', 'got', 'killed', 'due')",3
"('removed', 'job', 'restarted', 'completed')",3
"('connectivity', 'issue', 'issue', 'resoved')",3
"('issue', 'issue', 'resoved', 'adn')",3
"('issue', 'resoved', 'adn', 'job')",3
"('resoved', 'adn', 'job', 'restarted')",3
"('process', 'state', 'failure', 'job')",3
"('state', 'failure', 'job', 'started')",3
"('failure', 'job', 'started', 'issue')",3
"('job', 'started', 'issue', 'fixed')",3
"('td', 'outage', 'successful', 'rerun')",3
"('data', 'issue', 'issue', 'resolved')",3
"('issue', 'resolved', 'job', 'restarted')",3
"('resolved', 'job', 'restarted', 'completed')",3
"('dead', 'lock', 'completed', 're-run')",3
"('td', 'outage', 'run', 'succesful')",3
"('failed', 'due', 'file', 'unavailability.the')",3
"('due', 'file', 'unavailability.the', 'job')",3
"('occured', 'job', 'completed', 'query')",3
"('job', 'completed', 'query', 'ran')",3
"('completed', 'query', 'ran', 'successfully')",3
"('duplicates', 'issue', 'removed', 'duplicates')",3
"('issue', 'removed', 'duplicates', 're-run')",3
"('removed', 'duplicates', 're-run', 'successfully')",3
"('completed', 'back', 'end', 'successfully')",3
"('failed', 'due', 'server', 'issue')",3
"('due', 'server', 'issue', 'issue')",3
"('server', 'issue', 'issue', 'fixed')",3
"('login', 'timeout', 'issue', 'job')",3
"('job', 'completed', 'file', 'avaialble')",3
"('table', 'locked', 'release', 'tbload')",3
"('locked', 'release', 'tbload', 'job')",3
"('release', 'tbload', 'job', 'completed')",3
"('job', 'killed', 'got', 'hanged')",3
"('job', 'abended', 'source', 'connection')",3
"('abended', 'source', 'connection', 'active')",3
"('source', 'connection', 'active', 'cancelled')",3
"('connection', 'active', 'cancelled', 'batch')",3
"('active', 'cancelled', 'batch', 'day')",3
"('completed', 'source', 'file', 'arrived')",3
"('occured', 'job', 'completed', 're-run')",3
"('table', 'locked.completed', 'run', 'tbload')",3
"('locked.completed', 'run', 'tbload', 'release')",3
"('failed', 'due', 'bad', 'character')",3
"('closed', 'manually', 'job', 'restarted')",3
"('duplicate', 'issue', 'removed', 'duplicates')",3
"('issue', 'removed', 'duplicates', 'job')",3
"('removed', 'duplicates', 'job', 'completed')",3
"('extraction', 'liasing', 'source', 'team')",3
"('time', 'issue', 'job', 'restarted')",3
"('connection', 'time', 'issue', 'fixed')",3
"('time', 'issue', 'fixed', 'job')",3
"('job', 'got', 'faield', 'due')",3
"('re-run', 'job', 'job', 'successful')",3
"('job', 'job', 'successful', 're-run')",3
"('self', 'lcok', 'script', 'executed')",3
"('got', 'failed', 'due', 'rfc')",3
"('failed', 'due', 'rfc', 'connectivitity')",3
"('due', 'rfc', 'connectivitity', 'exception')",3
"('rfc', 'connectivitity', 'exception', 'job')",3
"('connectivitity', 'exception', 'job', 'cancelled')",3
"('exception', 'job', 'cancelled', 'day')",3
"('deleted', 'duplicates', 'completed', 're-run')",3
"('pipe', 'error', 're-run', 'releasing')",3
"('error', 're-run', 'releasing', 'lock')",3
"('re-run', 'releasing', 'lock', 'completed')",3
"('releasing', 'lock', 'completed', 'successfully')",3
"('issue', 'issue', 'fixed', 'batch')",3
"('issue', 'fixed', 'batch', 'restarted')",3
"('fixed', 'batch', 'restarted', 'completed')",3
"('batch', 'restarted', 'completed', 'successfully')",3
"('data', 'format', 'issue', 'issue')",3
"('due', 'lock', 'issue', 'job')",3
"('got', 'falied', 'due', 'data')",3
"('falied', 'due', 'data', 'issue')",3
"('issue', 'fixed', 'job', 'completed')",3
"('fixed', 'job', 'completed', 'successful')",3
"('locked', 'released', 'tbload', 'moved')",3
"('job', 'failed', 'due', 'spool')",3
"('completed', 'source', 'file', 'available')",3
"('source', 'file', 'issue', 'rerun')",3
"('jobs', 'failed', 'due', 'database')",3
"('due', 'database', 'issue', 'cleared')",3
"('database', 'issue', 'cleared', 're-exection')",3
"('job', 'abended', 'due', 'spool')",3
"('abended', 'due', 'spool', 'space')",3
"('due', 'tbload', 'issue', 'released')",3
"('team', 'corrected', 'file', 'job')",3
"('jobs', 'overrunning', 'hence', 'deadline')",3
"('target', 'count', 'validation', 'job')",3
"('job', 'running', 'longer', 'time')",3
"('due', 'duplicate', 'issue', 'isuse')",3
"('duplicate', 'issue', 'isuse', 'fixed')",3
"('issue', 'isuse', 'fixed', 'job')",3
"('isuse', 'fixed', 'job', 're-started')",3
"('longer', 'time', 'hence', 'job')",3
"('got', 'failed', 'due', 'invalid')",3
"('source', 'file', 'issue', 'liaising')",3
"('jobs', 'overrunning', 'hence', 'job')",3
"('overrunning', 'hence', 'job', 'reached')",3
"('stream', 'instance', 'active', 'process')",3
"('instance', 'active', 'process', 'state')",3
"('job', 'got', 'killed', 'db')",3
"('got', 'killed', 'db', 'locking')",3
"('killed', 'db', 'locking', 'issue.we')",3
"('db', 'locking', 'issue.we', 'executed')",3
"('locking', 'issue.we', 'executed', 'script')",3
"('issue.we', 'executed', 'script', 'manually')",3
"('db', 'lock', 'issue', 'resolved')",3
"('late', 'job', 'restarted', 'source')",3
"('job', 'restarted', 'source', 'file')",3
"('restarted', 'source', 'file', 'placed')",3
"('source', 'file', 'placed', 'completed')",3
"('file', 'placed', 'completed', 'successfully')",3
"('invalid', 'date', 'issue', 'issue')",3
"('date', 'issue', 'issue', 'fixed')",3
"('job', 'triggering', 'brj', 'first')",3
"('triggering', 'brj', 'first', 'time')",3
"('brj', 'first', 'time', 're-run')",3
"('first', 'time', 're-run', 'successful')",3
"('due', 'tods', 'connection', 'issue')",3
"('due', 'tbload', 'issue', 'job')",3
"('due', 'login', 'timeout', 'error')",3
"('login', 'timeout', 'error', 're-running')",3
"('timeout', 'error', 're-running', 'job')",3
"('issue', 'batch', 'cancelled', 'day')",3
"('batch', 'cancelled', 'day', ""'s"")",3
"('login', 'time', 'issue', 'successful')",3
"('time', 'issue', 'successful', 'rerun')",3
"('file', 're-running', 'job', 'got')",3
"('named', 'piped', 'error', 'tbload')",3
"('piped', 'error', 'tbload', 'released')",3
"('tbload', 'released', 'job', 'got')",3
"('released', 'job', 'got', 'completed')",3
"('manually', 'closed', 'stream', 'marked')",3
"('closed', 'stream', 'marked', 'job')",3
"('stream', 'marked', 'job', 'success')",3
"('duplicate', 'issue', 'liasing', 'dev')",3
"('issue', 'liasing', 'dev', 'team')",3
"('due', 'duplicate', 'issue', 'source')",3
"('duplicate', 'issue', 'source', 'source')",3
"('issue', 'source', 'source', 'team')",3
"('source', 'source', 'team', 'resend')",3
"('source', 'team', 'resend', 'file')",3
"('team', 'resend', 'file', 're-processing')",3
"('resend', 'file', 're-processing', 'job')",3
"('file', 're-processing', 'job', 'got')",3
"('re-processing', 'job', 'got', 'completed')",3
"('failed', 'due', 'data', 'tbload')",3
"('due', 'data', 'tbload', 'issue')",3
"('data', 'tbload', 'issue', 'issue')",3
"('connection', 'issue', 're-run', 'job')",3
"('failed', 'due', 'source', 'target')",3
"('job', 'abended', 'dependent', 'source')",3
"('abended', 'dependent', 'source', 'job')",3
"('dependent', 'source', 'job', 'completed')",3
"('source', 'job', 'completed', 'job')",3
"('job', 'completed', 'job', 'restarted')",3
"('completed', 'job', 'restarted', 'source')",3
"('job', 'restarted', 'source', 'job')",3
"('restarted', 'source', 'job', 'gets')",3
"('source', 'job', 'gets', 'completed')",3
"('job', 'gets', 'completed', 'completed')",3
"('gets', 'completed', 'completed', 'successfully')",3
"('reraun', 'successful', 'data', 'fix')",3
"('duplicate', 'issue', 'job', 'rerun')",3
"('due', 'source', 'database', 'issue.completed')",3
"('source', 'database', 'issue.completed', 'successfully')",3
"('database', 'issue.completed', 'successfully', 'reexecuting')",3
"('re-run', 'job', 'got', 'completed')",3
"('batch', 'got', 'failed', 'due')",3
"('got', 'failed', 'due', 'schedulre')",3
"('failed', 'due', 'schedulre', 'issue')",3
"('due', 'schedulre', 'issue', 're-started')",3
"('schedulre', 'issue', 're-started', 'later')",3
"('extraction', 'issue.on', 're-run', 'job')",3
"('abended', 'due', 'data', 'duplicate')",3
"('failed', 'due', 'unavailability', 'source')",3
"('due', 'unavailability', 'source', 'file')",3
"('unavailability', 'source', 'file', 'job')",3
"('source', 'file', 'job', 'got')",3
"('file', 'job', 'got', 'completed')",3
"('got', 'completed', 'successfully', 'file')",3
"('completed', 'successfully', 'file', 'available')",3
"('failed', 'due', 'space', 'issue')",3
"('due', 'lock', 'issue', 'rerunning')",3
"('lock', 'issue', 'rerunning', 'job')",3
"('issue', 'rerunning', 'job', 'got')",3
"('rerunning', 'job', 'got', 'completed')",3
"('lock', 'issue', 'lock', 'resolved')",3
"('issue', 'lock', 'resolved', 'job')",3
"('lock', 'resolved', 'job', 'got')",3
"('resolved', 'job', 'got', 'completed')",3
"('job', 'failed', 'collect', 'stats')",3
"('failed', 'collect', 'stats', 'manually')",3
"('source', 'file', 'available', 'liasing')",3
"('file', 'available', 'liasing', 'hdp')",3
"('available', 'liasing', 'hdp', 'team')",3
"('cancelled', 'hence', 'held', 'catch')",3
"('hence', 'held', 'catch', 'another')",3
"('held', 'catch', 'another', 'day')",3
"('tods', 'server', 'session', 'issue')",3
"('server', 'session', 'issue', 'issue')",3
"('manually', 'executed', 'query', 'tdata')",3
"('duplicates', 'source', 'file', 'duplicates')",3
"('source', 'file', 'duplicates', 'removed')",3
"('file', 'duplicates', 'removed', 'job')",3
"('duplicates', 'removed', 'job', 'got')",3
"('removed', 'job', 'got', 'completed')",3
"('state', 'updated', 'manually', 'job')",3
"('updated', 'manually', 'job', 'restarted')",3
"('due', 'file', 'unavailability', 'later')",3
"('file', 'unavailability', 'later', 'ran')",3
"('unavailability', 'later', 'ran', 'job')",3
"('later', 'ran', 'job', 'file')",3
"('ran', 'job', 'file', 'source')",3
"('job', 'file', 'source', 'team')",3
"('file', 'source', 'team', 'job')",3
"('instance', 'still', 'active', 'process')",3
"('still', 'active', 'process', 'state')",3
"('completed', 'successfully', 'wrongly', 'raised')",3
"('successfully', 'wrongly', 'raised', 'due')",3
"('wrongly', 'raised', 'due', 'brj')",3
"('raised', 'due', 'brj', 'issue')",3
"('due', 'duplicate', 'issues', 'issue')",3
"('duplicate', 'issues', 'issue', 'fixed')",3
"('instance', 'active', 'manually', 'closed')",3
"('job', 'kept', 'hold', 'didnt')",3
"('kept', 'hold', 'didnt', 'receive')",3
"('hold', 'didnt', 'receive', 'data')",3
"('didnt', 'receive', 'data', 'regular')",3
"('receive', 'data', 'regular', 'basis')",3
"('still', 'active', 'stream', '21')",3
"('active', 'stream', '21', 'closed')",3
"('stream', '21', 'closed', 'job')",3
"('21', 'closed', 'job', 'restarted')",3
"('closed', 'job', 'restarted', 'completed')",3
"('count', 'validation', 'issue', 're-running')",3
"('validation', 'issue', 're-running', 'job')",3
"('job', 'got', 'completed', 'sucessfully')",3
"('due', 'tbload', 'issue', 'issus')",3
"('tbload', 'issue', 'issus', 'fixed')",3
"('clear', 'queue', 'run', 'job')",3
"('delay', 'receiving', 'input', 'file.hence')",3
"('receiving', 'input', 'file.hence', 'job')",3
"('input', 'file.hence', 'job', 'failed')",3
"('file', 'unavailability', 'job', 're-started')",2
"('job', 'killed', 'manually', 'job')",2
"('killed', 'manually', 'job', 'hanged')",2
"('job', 'reran', 'completed', 'successfully')",2
"('job', 're-run', 'source', 'file')",2
"('re-run', 'source', 'file', 'available')",2
"('login', 'timed', 'error.completed', 're-run')",2
"('job', 'run', 'part', 'reference')",2
"('run', 'part', 'reference', 'table')",2
"('part', 'reference', 'table', 'data')",2
"('reference', 'table', 'data', 'load')",2
"('got', 'killed', 'due', 'tbload')",2
"('killed', 'due', 'tbload', 'issue')",2
"('due', 'tbload', 'issue', 'tbload')",2
"('tbload', 'issue', 'tbload', 'removed')",2
"('issue', 'tbload', 'removed', 'job')",2
"('tbload', 'removed', 'job', 'restarted')",2
"('pipe', 'error', 'issue', 'fixed')",2
"('failed', 'collect', 'stats', 'skipped')",2
"('collect', 'stats', 'skipped', 'continued')",2
"('stats', 'skipped', 'continued', 'job')",2
"('due', 'data', 'issues', 'job')",2
"('data', 'issues', 'job', 'failed')",2
"('job', 'abended', 'due', 'duplicate/null')",2
"('abended', 'due', 'duplicate/null', 'data')",2
"('due', 'duplicate/null', 'data', 'issue')",2
"('duplicate/null', 'data', 'issue', 'issue')",2
"('due', 'data', 'issue', 'i.e')",2
"('data', 'issue', 'i.e', 'duplicates/null')",2
"('issue', 'i.e', 'duplicates/null', 'values/')",2
"('i.e', 'duplicates/null', 'values/', 'invalid')",2
"('duplicates/null', 'values/', 'invalid', 'data')",2
"('values/', 'invalid', 'data', 'format')",2
"('invalid', 'data', 'format', 'job')",2
"('data', 'format', 'job', 'restarted')",2
"('format', 'job', 'restarted', 'got')",2
"('job', 'killed', 'marked', 'success')",2
"('job', 'abended', 'able', 'connect')",2
"('abended', 'able', 'connect', 'source')",2
"('able', 'connect', 'source', 'database')",2
"('connect', 'source', 'database', 'system')",2
"('file', 'unavailability', 'job', 'cancelled')",2
"('dependent', 'schedule', 'over-running', 'hence')",2
"('schedule', 'over-running', 'hence', 'deadline')",2
"('time-out', 'issue', 'job', 'completed')",2
"('table', 'locked', 'released', 'lock')",2
"('locked', 'released', 'lock', 'dropped')",2
"('released', 'lock', 'dropped', 'temp')",2
"('lock', 'dropped', 'temp', 'table')",2
"('dropped', 'temp', 'table', 'moved')",2
"('temp', 'table', 'moved', 'row')",2
"('table', 'moved', 'row', 'count')",2
"('source', 'count', 'target', 'count')",2
"('failed', 'rerun', 'job', 'completed')",2
"('source', 'file', 'available', 'completed')",2
"('file', 'available', 'completed', 're-run')",2
"('issue', 'source', 'file', 'completed')",2
"('file', 'completed', 're-run', 'corrected')",2
"('completed', 're-run', 'corrected', 'file')",2
"('re-run', 'corrected', 'file', 'made')",2
"('corrected', 'file', 'made', 'available')",2
"('value', 'issue', 'issue', 'resolved')",2
"('issue', 'resolved', 'job', 'started')",2
"('load', 'free', 'got', 'completed')",2
"('free', 'got', 'completed', 'successfully')",2
"('jobs', 'getting', 'failed', 'due')",2
"('getting', 'failed', 'due', 'extraction')",2
"('due', 'extraction', 'issue', 'hence')",2
"('extraction', 'issue', 'hence', 'job')",2
"('issue', 'hence', 'job', 'cancelled')",2
"('hence', 'job', 'cancelled', 'day')",2
"('killed', 'got', 'hanged', 'cancelled')",2
"('got', 'hanged', 'cancelled', 'batch')",2
"('hanged', 'cancelled', 'batch', 'day')",2
"('abended', 'due', 'source', 'database')",2
"('due', 'source', 'database', 'connection')",2
"('due', 'extraction', 'issue', 'hene')",2
"('extraction', 'issue', 'hene', 'batch')",2
"('issue', 'hene', 'batch', 'canceelled')",2
"('hene', 'batch', 'canceelled', 'day')",2
"('file', 'unavailability.the', 'job', 'completed')",2
"('unavailability.the', 'job', 'completed', 'later')",2
"('row', 'count', 'file', 'arrival')",2
"('failed', 'due', 'tods', 'error.re-executed')",2
"('due', 'tods', 'error.re-executed', 'completed')",2
"('tods', 'error.re-executed', 'completed', 'successfully')",2
"('run', 'next', 'day', ""'s"")",2
"('pipe', 'error', 'issue', 'resolved')",2
"('error', 'issue', 'resolved', 'job')",2
"('running', 'longer', 'time', 'job')",2
"('longer', 'time', 'job', 'killed')",2
"('time', 'job', 'killed', 'cancelled')",2
"('got', 'failed', 'due', 'td')",2
"('failed', 'due', 'td', 'outage')",2
"('due', 'td', 'outage', 'issue')",2
"('td', 'outage', 'issue', 'fixed')",2
"('got', 'faield', 'due', 'file')",2
"('faield', 'due', 'file', 'unavailability')",2
"('job', 'ran', 'successfully', 'rerunning')",2
"('due', 'database', 'connection', 'timeout')",2
"('database', 'connection', 'timeout', 'tbload')",2
"('connection', 'timeout', 'tbload', 'released')",2
"('timeout', 'tbload', 'released', 'job')",2
"('tbload', 'released', 'job', 'restarted')",2
"('released', 'job', 'restarted', 'job')",2
"('job', 'restarted', 'job', 'got')",2
"('row', 'count', 'file', 'archieve')",2
"('count', 'file', 'archieve', 'arrival')",2
"('due', 'lock', 'issue', 'manually')",2
"('lock', 'issue', 'manually', 'relelased')",2
"('issue', 'manually', 'relelased', 'lock')",2
"('manually', 'relelased', 'lock', 're-run')",2
"('relelased', 'lock', 're-run', 'job')",2
"('lock', 're-run', 'job', 'job')",2
"('failed', 'due', 'duplicates', 'deleted')",2
"('due', 'duplicates', 'deleted', 'duplicates')",2
"('duplicates', 'deleted', 'duplicates', 'completed')",2
"('job', 're-run', 'successfully', 'back')",2
"('re-run', 'successfully', 'back', 'end')",2
"('due', 'extraction', 'issue', 'issue')",2
"('extraction', 'issue', 'issue', 'fixed')",2
"('jo', 'completed', 'successfully', 're-run')",2
"('failed', 'due', 'duplicates', 're-run')",2
"('duplicate/null/invalid', 'data', 'format', 'issue')",2
"('lock', 'issue', 'job', 'got')",2
"('issue', 'job', 'got', 'success')",2
"('job', 'got', 'success', 're-run')",2
"('released', 'tbload', 'moved', 'file')",2
"('tbload', 'moved', 'file', 'arrival')",2
"('moved', 'file', 'arrival', 'area')",2
"('file', 'arrival', 'area', 'completed')",2
"('arrival', 'area', 'completed', 're-run')",2
"('failed', 'due', 'file', 'unavailbility')",2
"('due', 'file', 'unavailbility', 'issue')",2
"('re-run', 'job', 'back', 'end')",2
"('self-lock', 'completed', 'running', 'query')",2
"('due', 'data', 'issue', 'job')",2
"('failed', 'skipped', 'continued', 'batch')",2
"('occured', 'job', 'completed', 'runningthe')",2
"('job', 'completed', 'runningthe', 'query')",2
"('completed', 'runningthe', 'query', 'manually')",2
"('time', 'issue', 'job', 're-started')",2
"('lock', 'occured', 'killed', 'job')",2
"('occured', 'killed', 'job', 'executed')",2
"('job', 'failed', 'source', 'file')",2
"('failed', 'source', 'file', 'available')",2
"('issue', 'extraction', 'liasing', 'source')",2
"('file', 'issue', 'rerun', 'job')",2
"('failed', 'due', 'moload', 'release')",2
"('due', 'moload', 'release', 'completed')",2
"('moload', 'release', 'completed', 'successfully')",2
"('due', 'login', 'timeout', 'expired')",2
"('login', 'timeout', 'expired', 'job')",2
"('timeout', 'expired', 'job', 'restarted')",2
"('expired', 'job', 'restarted', 'completed')",2
"('job', 'failed', 'source', 'tables')",2
"('failed', 'source', 'tables', 'available')",2
"('source', 'tables', 'available', 'cancelled')",2
"('tables', 'available', 'cancelled', 'batch')",2
"('available', 'cancelled', 'batch', 'day')",2
"('backlog', 'covered', 'next', 'day')",2
"('covered', 'next', 'day', ""'s"")",2
"('next', 'day', ""'s"", 'run')",2
"('contacted', 'source', 'team', 'job')",2
"('invalid', 'date', 'format', 'issue')",2
"('running', 'long', 'time', 'got')",2
"('long', 'time', 'got', 'hanged')",2
"('fixed', 'job', 'reexecuted', 'job')",2
"('job', 'reexecuted', 'job', 'got')",2
"('reexecuted', 'job', 'got', 'completed')",2
"('job', 'failed', 'due', 'invalid')",2
"('due', 'log', 'time', '.which')",2
"('log', 'time', '.which', 're-executed')",2
"('time', '.which', 're-executed', 'completed')",2
"('.which', 're-executed', 'completed', 'successfully')",2
"('job', 'got', 'failed', 'login')",2
"('got', 'failed', 'login', 'time')",2
"('failed', 'login', 'time', 'issue')",2
"('file', 'contacted', 'source', 'team')",2
"('due', 'duplicate', 'issues', 'issues')",2
"('duplicate', 'issues', 'issues', 'fixed')",2
"('issues', 'issues', 'fixed', 'job')",2
"('issues', 'fixed', 'job', 'restarted')",2
"('previous', 'batch', 'closed', 'rerun')",2
"('batch', 'closed', 'rerun', 'job')",2
"('duplicate', 'entries', 'source', 'file')",2
"('deleted', 'records', 'job', 'completed')",2
"('hence', 'batch', 'cancelled', 'day')",2
"('null', 'value', 'issue', 'fixed')",2
"('value', 'issue', 'fixed', 'job')",2
"('job', 'failed', 'process', 'state')",2
"('failed', 'due', 'target', 'count')",2
"('due', 'target', 'count', 'validation')",2
"('count', 'validation', 'job', 'successful')",2
"('due', 'invalid', 'date', 'format')",2
"('issue', 'job', 're-run', 'removing')",2
"('failed', 'due', 'incorrect', 'date')",2
"('due', 'incorrect', 'date', 'format')",2
"('incorrect', 'date', 'format', 'issue')",2
"('date', 'format', 'issue', 'fixed')",2
"('source', 'file', 'job', 'completed')",2
"('due', 'tods', 'login', 'time')",2
"('manually', 'restarted', 'job', 'completed')",2
"('due', 'invalid', 'data', 'issue')",2
"('dev', 'team', 'warranty', 'support')",2
"('job', 'hold', 'source', 'data')",2
"('hold', 'source', 'data', 'received')",2
"('due', 'duplicate', 'issue', 'job')",2
"('job', 'abended', 'stream', 'still')",2
"('abended', 'stream', 'still', 'active')",2
"('connection', 'issue', 'job', 'failed')",2
"('issue', 'job', 'failed', 're-run')",2
"('along', 'today', ""'s"", 'load')",2
"('issue', 'issue', 'fixed', 're-executed')",2
"('abended', 'due', 'tods', 'connection')",2
