N-gram,Frequency
"('failed', 'due', 'extraction')",6
"('due', 'extraction', 'issue')",6
"('got', 'trigerred', 'incorrectly')",6
"('trigerred', 'incorrectly', 'hence')",6
"('incorrectly', 'hence', 'job')",6
"('hence', 'job', 'manually')",6
"('job', 'manually', 'aborted')",6
"('job', 'completed', 'source')",6
"('completed', 'source', 'file')",6
"('job', 'failed', 'pipe')",6
"('failed', 'pipe', 'error')",6
"('connection', 'time', '..')",6
"('time', '..', 'issue')",6
"('..', 'issue', 'rsolved')",6
"('issue', 'rsolved', 'job')",6
"('rsolved', 'job', 'restarted')",6
"('job', 'killed', 'cancelled')",6
"('killed', 'cancelled', 'day')",6
"('file', 'job', 'completed')",6
"('due', 'named', 'pipe')",6
"('login', 'timeout', 'job')",6
"('killed', 'job', 'executed')",6
"('failed', 'due', 'invalid')",6
"('source', 'team', 'corrected')",6
"('failed', 'due', 'link')",6
"('due', 'link', 'failure')",6
"('ran', 'manually', 'completed')",6
"('manually', 'completed', 'successfully')",6
"('active', 'manually', 'closed')",6
"('job', 'executed', 'back')",6
"('executed', 'back', 'end')",6
"('process', 'state', 'updated')",6
"('state', 'updated', 'manually')",6
"('wrongly', 'triggered', 'kept')",6
"('triggered', 'kept', 'schedule')",6
"('kept', 'schedule', 'request')",6
"('session', 'issue', 'job')",6
"('bw', 'server', 'issue')",6
"('issue', 'resolved', 're-run')",6
"('job', 'restarted', 'source')",6
"('issue', 'job', 'executed')",6
"('run', 'along', 'next')",6
"('along', 'next', 'day')",6
"('value', 'issues', 'issue')",6
"('lock', 'occured', 'completed')",6
"('triggering', 'brj', 'job')",6
"('brj', 'job', 'executed')",6
"('brj', 'issue', 're-run')",6
"('connection', 'time', 'error')",6
"('due', 'huge', 'volume')",6
"('warranty', 'support', 'liaising')",6
"('released', 'tbload', 'job')",6
"('tbload', 'job', 'got')",6
"('job', 'got', 'successful')",6
"('occurred', 'job', 'completed')",6
"('instance', 'active', 'manually')",6
"('duplicate', 'issue', 'liaising')",6
"('hence', 'closing', 'incident')",6
"('hence', 'job', 'failed')",6
"('jobs', 'failed', 'brj')",6
"('failed', 'brj', 'ems')",6
"('brj', 'ems', 'team')",6
"('ems', 'team', 'updated')",6
"('team', 'updated', 'source')",6
"('updated', 'source', 'jobs')",6
"('source', 'jobs', 'incorrectly')",6
"('jobs', 'incorrectly', 'success')",6
"('incorrectly', 'success', 'rerun')",6
"('success', 'rerun', 'backend')",6
"('due', 'source', 'files')",6
"('source', 'files', 'unavailability')",6
"('files', 'unavailability', 'job')",6
"('warnings', 'marked', 'success')",6
"('process', 'increasing', 'file')",6
"('increasing', 'file', 'count')",6
"('file', 'count', 'avoid')",6
"('count', 'avoid', 'alerts')",6
"('issue', 'job', 'stuck')",6
"('job', 'stuck', 'manually')",6
"('stuck', 'manually', 'cleared')",6
"('queue', 'file', 'lock')",6
"('file', 'lock', 'issue')",6
"('lock', 'issue', 'later')",6
"('issue', 'later', 'queue')",6
"('later', 'queue', 'cleared')",6
"('job', 'schedules', 'kept')",5
"('schedules', 'kept', 'hold')",5
"('kept', 'hold', 'schedules')",5
"('hold', 'schedules', 'didnt')",5
"('schedules', 'didnt', 'run')",5
"('job', 'killed', 'hanged')",5
"('killed', 'hanged', 'long')",5
"('hanged', 'long', 'time')",5
"('long', 'time', 'job')",5
"('time', 'job', 'cancelled')",5
"('data', 'format', 'issues')",5
"('format', 'issues', 'issue')",5
"('lock', 'occurred', 'rerun')",5
"('occurred', 'rerun', 'job')",5
"('due', 'incorrect', 'stream')",5
"('incorrect', 'stream', 'closure')",5
"('stream', 'closure', 'issue')",5
"('closure', 'issue', 'fixed')",5
"('failed', 'collect', 'stats')",5
"('source', 'level', 'issue')",5
"('level', 'issue', 'i.e')",5
"('issue', 'i.e', 'source')",5
"('i.e', 'source', 'file')",5
"('source', 'file', 'missing')",5
"('file', 'missing', 'invalid')",5
"('missing', 'invalid', 'data')",5
"('data', 'format', 'source')",5
"('format', 'source', 'leads')",5
"('source', 'leads', 'job')",5
"('leads', 'job', 'failure')",5
"('job', 'failure', 'job')",5
"('job', 'running', 'long')",5
"('successfully', 'source', 'file')",5
"('due', 'tbload', 'issue.the')",5
"('tbload', 'issue.the', 'job')",5
"('issue.the', 'job', 'completed')",5
"('job', 'reexecuted', 'completed')",5
"('td', 'outage', 'run')",5
"('duplicates', 'removed', 'job')",5
"('job', 'restarted', 'file')",5
"('restarted', 'file', 'placed')",5
"('locked', 'released', 'tbload')",5
"('file', 'received', 'batch')",5
"('received', 'batch', 'cancelled')",5
"('brj', 'unlinked', 'hence')",5
"('unlinked', 'hence', 'jobs')",5
"('active', 'stream', 'closed')",5
"('closed', 'manually', 'job')",5
"('duplicate', 'issue', 'removed')",5
"('duplicates', 'job', 'completed')",5
"('due', 'database', 'unavailability.it')",5
"('database', 'unavailability.it', 'completed')",5
"('tdata', 'outage', 'issue')",5
"('login', 'time-out', 'issue')",5
"('job', 'got', 'hanged')",5
"('issue', 'job', 'failed')",5
"('database', 'issue', 'completed')",5
"('issue', 'completed', 're-runing')",5
"('completed', 're-runing', 'job')",5
"('connection', 'issue', 'issue')",5
"('timeout', 'job', 'restarted')",5
"('team', 'corrected', 'file')",5
"('received', 'updated', 'file')",5
"('due', 'duplicate', 'issues')",5
"('job', 'failed', 're-run')",5
"('job', 'overrunning', 'hence')",5
"('collect', 'stats', 'manually')",5
"('completed', 'successfully', 'received')",5
"('lock', 'occurred', 'complete')",5
"('occurred', 'complete', 'job')",5
"('complete', 'job', 'running')",5
"('due', 'server', 'issues')",5
"('server', 'issues', 'job')",5
"('re-running', 'time', 'job')",5
"('job', 're-ran', 'successfully')",5
"('restarted', 'job', 'completed')",5
"('another', 'instance', 'completed')",5
"('instance', 'completed', 'successfully')",5
"('session', 'hang', 'issue')",5
"('lock', 'issue', 'tbload')",5
"('issue', 'tbload', 'release')",5
"('tbload', 'release', 'success')",5
"('re-run', 'issue', 'fixed')",5
"('due', 'connection', 'issue')",5
"('connection', 'issue', 'job')",5
"('occured', 'completed', 'batch')",5
"('crm', 'source', 'available')",5
"('source', 'available', 'later')",5
"('available', 'later', 're-running')",5
"('later', 're-running', 'job')",5
"('error', 're-running', 'job')",5
"('due', 'source', 'bw')",5
"('source', 'bw', 'issue')",5
"('bw', 'issue', 'completed')",5
"('issue', 'completed', 'issue')",5
"('due', 'connection', 'time')",5
"('manually', 'closed', 'stream')",5
"('null', 'value', 'issues')",5
"('job', 'rerun', 'releasing')",5
"('rerun', 'releasing', 'tbload')",5
"('self', 'lock', 'completed')",5
"('lock', 'completed', 'job')",5
"('file', 'unavailability', 'file')",5
"('unavailability', 'file', 'available')",5
"('support', 'liaising', 'dev')",5
"('bw', 'issue', 'job')",5
"('completed', 'running', 'manually')",5
"('tbload', 'issue', 'successful')",5
"('released', 'completed', 'successfully')",5
"('update', 'script', 'manually')",5
"('due', 'duplicates', 'source')",5
"('job', 'kept', 'hold')",5
"('due', 'count', 'validation')",5
"('count', 'validation', 'issue')",5
"('issue', 'fixed', 'manually')",4
"('fixed', 'manually', 'job')",4
"('didnt', 'run', 'past')",4
"('run', 'past', 'days')",4
"('past', 'days', 'due')",4
"('days', 'due', 'file')",4
"('due', 'file', 'unavailaility')",4
"('file', 'unavailaility', 'hence')",4
"('unavailaility', 'hence', 'received')",4
"('due', 'file', 'unailability')",4
"('file', 'unailability', 'issue')",4
"('unailability', 'issue', 'fixed')",4
"('executed', 'successfully', 'rerunning')",4
"('error', 'issue', 'fixed')",4
"('over-running', 'hence', 'deadline')",4
"('hence', 'deadline', 'breached')",4
"('duplicate', 'issue', 'file')",4
"('target', 'count', 'validation')",4
"('re-run', 'releasing', 'lock')",4
"('duplicates', 're-run', 'successfully')",4
"('unavailability', 'job', 'restarted')",4
"('back', 'end', 'successfully')",4
"('tbload', 'job', 'completed')",4
"('job', 'killed', 'got')",4
"('failed', 'due', 'ambiguos')",4
"('due', 'ambiguos', 'error')",4
"('ambiguos', 'error', 're-running')",4
"('error', 're-running', 'tdata')",4
"('re-running', 'tdata', 'script')",4
"('tdata', 'script', ""'s"")",4
"('script', ""'s"", 'manually')",4
"(""'s"", 'manually', 'job')",4
"('manually', 'job', 'completed')",4
"('unavailability.it', 'completed', 'successfully')",4
"('completed', 'successfully', 'server')",4
"('successfully', 'server', 'availability')",4
"('tdata', 'disconnected', 'rerun')",4
"('disconnected', 'rerun', 'job')",4
"('due', 'login', 'time-out')",4
"('completed', 'successfully', 're-ran')",4
"('since', 'issues', 'events')",4
"('issues', 'events', 'brj')",4
"('events', 'brj', 'held')",4
"('brj', 'held', 'lh')",4
"('held', 'lh', 'batched')",4
"('lh', 'batched', 'brj')",4
"('batched', 'brj', 'running')",4
"('brj', 'running', 'manually')",4
"('failed', 'due', 'connecitvity')",4
"('due', 'connecitvity', 'issue')",4
"('connecitvity', 'issue', 'theen')",4
"('issue', 'theen', 'job')",4
"('theen', 'job', 're-started')",4
"('got', 'hanged', 'running')",4
"('hanged', 'running', 'longer')",4
"('due', 'td', 'outage')",4
"('job', 're-run', 'backend')",4
"('job', 'job', 'successful')",4
"('duplicates', 'completed', 're-run')",4
"('pipe', 'error', 're-run')",4
"('self', 'lock.script', 'executed')",4
"('data', 'issue', 'job')",4
"('date', 'format', 'issue')",4
"('file', 'available', 'rerun')",4
"('failed', 're-run', 'job')",4
"('completed', 'completed', 'successfully')",4
"('link', 'failure', 'brj.we')",4
"('failure', 'brj.we', 'ran')",4
"('brj.we', 'ran', 'manually')",4
"('longer', 'time', 'hence')",4
"('time', 'hence', 'job')",4
"('failed', 'due', 'scheduler')",4
"('due', 'scheduler', 'ssis')",4
"('scheduler', 'ssis', 'tool')",4
"('ssis', 'tool', 'related')",4
"('tool', 'related', 'issue')",4
"('related', 'issue', 'issue')",4
"('issues', 'job', 'terminated')",4
"('job', 'terminated', 're-running')",4
"('terminated', 're-running', 'time')",4
"('time', 'job', 'got')",4
"('hence', 'job', 'reached')",4
"('job', 'reached', 'deadline')",4
"('executed', 'script', 'manually')",4
"('source', 'side', 'issue')",4
"('due', 'invalid', 'data')",4
"('job', 'restarted', 'another')",4
"('restarted', 'another', 'instance')",4
"('db', 'lock', 'issue')",4
"('server', 'session', 'hang')",4
"('hang', 'issue', 'issue')",4
"('file', 'arrived', 'late')",4
"('arrived', 'late', 'job')",4
"('late', 'job', 'restarted')",4
"('team', 'warranty', 'support')",4
"('invalid', 'date', 'issue')",4
"('failed', 'source', 'extraction')",4
"('source', 'extraction', 'failed')",4
"('extraction', 'failed', 'job')",4
"('failed', 'job', 'cancelled')",4
"('self', 'lock', 'issue')",4
"('job', 'cancelled', 'hence')",4
"('cancelled', 'hence', 'held')",4
"('brj', 'connection', 'issue.on')",4
"('connection', 'issue.on', 're-run')",4
"('job', 'run', 'resolved')",4
"('intimated', 'source', 'team')",4
"('successfully', 'received', 'updated')",4
"('job', 'run', 'manually')",4
"('server', 'issue', 'liasing')",4
"('issue', 'liasing', 'admin')",4
"('liasing', 'admin', 'team')",4
"('time', 'error', 'restarted')",4
"('error', 'restarted', 'job')",4
"('restarted', 'job', 'load')",4
"('job', 'load', 'td')",4
"('td', 'box', 'reduced')",4
"('available', 'job', 'successful')",4
"('failed', 'due', 'script')",4
"('due', 'script', 'failure')",4
"('script', 'failure', 'issue')",4
"('file', 'unavailability', 'liaising')",4
"('unavailability', 'liaising', 'source')",4
"('due', 'source', 'target')",4
"('source', 'target', 'count')",4
"('bw', 'open', 'hub')",4
"('open', 'hub', 'issue')",4
"('job', 'completed', 'job')",4
"('open', 'hub', 'connection')",4
"('bw', 'source', 'system')",4
"('occurred', 'completed', 'batch')",4
"('lock', 'issue', 'lock')",4
"('huge', 'volume', 'tods')",4
"('volume', 'tods', 'job')",4
"('tods', 'job', 'got')",4
"('job', 'got', 'locked')",4
"('got', 'locked', '.i.e')",4
"('locked', '.i.e', 'query')",4
"('.i.e', 'query', 'insert')",4
"('query', 'insert', 'records')",4
"('insert', 'records', 'sql')",4
"('records', 'sql', 'got')",4
"('sql', 'got', 'self')",4
"('got', 'self', 'lock.we')",4
"('self', 'lock.we', 'killed')",4
"('lock.we', 'killed', 'job')",4
"('job', 'executed', 'insert')",4
"('executed', 'insert', 'update')",4
"('insert', 'update', 'script')",4
"('server', 'session', 'issue')",4
"('session', 'issue', 'issue')",4
"('self', 'lock', 'occuured')",4
"('lock', 'occuured', 'completed')",4
"('occuured', 'completed', 'job')",4
"('issue', 'issus', 'fixed')",4
"('issus', 'fixed', 'job')",4
"('abended', 'source', 'db')",4
"('source', 'db', 'available')",4
"('db', 'available', 'job')",4
"('available', 'job', 'restarted')",4
"('files', 'moved', 'manually')",4
"('failed', 'due', 'saa')",4
"('due', 'saa', 'warnings')",4
"('saa', 'warnings', 'marked')",4
"('clear', 'queue', 'run')",4
"('file', 'stuck', 'hence')",4
"('stuck', 'hence', 'job')",4
"('job', 'abended', 'running')",3
"('abended', 'running', 'long')",3
"('long', 'time', 'next')",3
"('time', 'next', 'day')",3
"('day', ""'s"", 'backup')",3
"(""'s"", 'backup', 'batch')",3
"('backup', 'batch', 'covered')",3
"('batch', 'covered', 'backlogs')",3
"('abended', 'due', 'dupllicate/null/invalid')",3
"('due', 'dupllicate/null/invalid', 'format')",3
"('dupllicate/null/invalid', 'format', 'issue')",3
"('failed', 'due', 'low')",3
"('null', 'values', 'completed')",3
"('values', 'completed', 're-execution')",3
"('bad', 'character', 'issue')",3
"('job', 'completed', 'succefully')",3
"('completed', 'succefully', 'rerun')",3
"('got', 'killed', 'due')",3
"('removed', 'job', 'restarted')",3
"('issue', 'issue', 'resoved')",3
"('issue', 'resoved', 'adn')",3
"('resoved', 'adn', 'job')",3
"('adn', 'job', 'restarted')",3
"('state', 'failure', 'job')",3
"('failure', 'job', 'started')",3
"('job', 'started', 'issue')",3
"('started', 'issue', 'fixed')",3
"('td', 'outage', 'successful')",3
"('outage', 'successful', 'rerun')",3
"('resolved', 'job', 'restarted')",3
"('data', 'format', 'job')",3
"('killed', 'marked', 'success')",3
"('dead', 'lock', 'completed')",3
"('lock', 'completed', 're-run')",3
"('locked', 'released', 'lock')",3
"('outage', 'run', 'succesful')",3
"('due', 'file', 'unavailability.the')",3
"('file', 'unavailability.the', 'job')",3
"('file', 'made', 'available')",3
"('job', 'completed', 'query')",3
"('completed', 'query', 'ran')",3
"('query', 'ran', 'successfully')",3
"('duplicates', 'issue', 'removed')",3
"('removed', 'duplicates', 're-run')",3
"('due', 'server', 'issue')",3
"('server', 'issue', 'issue')",3
"('timeout', 'issue', 'job')",3
"('job', 'completed', 'backend')",3
"('completed', 'file', 'avaialble')",3
"('table', 'locked', 'release')",3
"('locked', 'release', 'tbload')",3
"('release', 'tbload', 'job')",3
"('extraction', 'issue', 'hence')",3
"('issue', 'hence', 'job')",3
"('killed', 'got', 'hanged')",3
"('abended', 'source', 'connection')",3
"('source', 'connection', 'active')",3
"('connection', 'active', 'cancelled')",3
"('active', 'cancelled', 'batch')",3
"('table', 'locked.completed', 'run')",3
"('locked.completed', 'run', 'tbload')",3
"('run', 'tbload', 'release')",3
"('failed', 'due', 'bad')",3
"('due', 'bad', 'character')",3
"('removed', 'duplicates', 'job')",3
"('extraction', 'liasing', 'source')",3
"('time', 'issue', 'fixed')",3
"('job', 'got', 'faield')",3
"('got', 'faield', 'due')",3
"('re-run', 'job', 'job')",3
"('self', 'lcok', 'script')",3
"('lcok', 'script', 'executed')",3
"('updated', 'process', 'state')",3
"('failed', 'due', 'rfc')",3
"('due', 'rfc', 'connectivitity')",3
"('rfc', 'connectivitity', 'exception')",3
"('connectivitity', 'exception', 'job')",3
"('exception', 'job', 'cancelled')",3
"('deleted', 'duplicates', 'completed')",3
"('error', 're-run', 'releasing')",3
"('releasing', 'lock', 'completed')",3
"('lock', 'completed', 'successfully')",3
"('issue', 'fixed', 'batch')",3
"('fixed', 'batch', 'restarted')",3
"('batch', 'restarted', 'completed')",3
"('jo', 'completed', 'successfully')",3
"('lock', 'issue', 'job')",3
"('falied', 'due', 'data')",3
"('fixed', 'job', 'completed')",3
"('released', 'tbload', 'moved')",3
"('file', 'arrival', 'area')",3
"('due', 'file', 'unavailbility')",3
"('file', 'issue', 'rerun')",3
"('database', 'issue', 'cleared')",3
"('issue', 'cleared', 're-exection')",3
"('issue', 'source', 'side')",3
"('invalid', 'date', 'format')",3
"('abended', 'due', 'spool')",3
"('tbload', 'issue', 'released')",3
"('corrected', 'file', 'job')",3
"('issue', 'closing', 'incident')",3
"('received', 'source', 'file')",3
"('count', 'validation', 'job')",3
"('job', 'running', 'longer')",3
"('duplicate', 'issue', 'isuse')",3
"('issue', 'isuse', 'fixed')",3
"('isuse', 'fixed', 'job')",3
"('file', 'issue', 'liaising')",3
"('overrunning', 'hence', 'job')",3
"('instance', 'active', 'process')",3
"('manually', 'restarted', 'job')",3
"('got', 'killed', 'db')",3
"('killed', 'db', 'locking')",3
"('db', 'locking', 'issue.we')",3
"('locking', 'issue.we', 'executed')",3
"('issue.we', 'executed', 'script')",3
"('lock', 'issue', 'resolved')",3
"('restarted', 'source', 'file')",3
"('source', 'file', 'placed')",3
"('file', 'placed', 'completed')",3
"('placed', 'completed', 'successfully')",3
"('reprocessed', 'adding', 'space')",3
"('date', 'issue', 'issue')",3
"('triggering', 'brj', 'first')",3
"('brj', 'first', 'time')",3
"('first', 'time', 're-run')",3
"('time', 're-run', 'successful')",3
"('tods', 'server', 'restarted')",3
"('due', 'tods', 'connection')",3
"('tods', 'connection', 'issue')",3
"('warranty', 'support', 'liasing')",3
"('login', 'timeout', 'error')",3
"('timeout', 'error', 're-running')",3
"('issue', 'job', 'triggered')",3
"('issue', 'batch', 'cancelled')",3
"('data', 'received', 'source')",3
"('duplicate', 'issue', 'got')",3
"('executed', 'job', 'successfully')",3
"('time', 'issue', 'successful')",3
"('file', 're-running', 'job')",3
"('scheduler', 'job', 'run')",3
"('liaising', 'development', 'team')",3
"('piped', 'error', 'tbload')",3
"('released', 'job', 'got')",3
"('closed', 'stream', 'marked')",3
"('stream', 'marked', 'job')",3
"('marked', 'job', 'success')",3
"('duplicate', 'issue', 'liasing')",3
"('issue', 'liasing', 'dev')",3
"('issue', 'source', 'source')",3
"('source', 'source', 'team')",3
"('source', 'team', 'resend')",3
"('team', 'resend', 'file')",3
"('resend', 'file', 're-processing')",3
"('file', 're-processing', 'job')",3
"('re-processing', 'job', 'got')",3
"('wrongly', 'triggered', 'hence')",3
"('due', 'data', 'tbload')",3
"('data', 'tbload', 'issue')",3
"('connection', 'issue', 're-run')",3
"('batch', 'progressing', 'correctly')",3
"('data', 'issue', '--')",3
"('time', 'error', 'job')",3
"('job', 'abended', 'dependent')",3
"('abended', 'dependent', 'source')",3
"('dependent', 'source', 'job')",3
"('source', 'job', 'completed')",3
"('completed', 'job', 'restarted')",3
"('restarted', 'source', 'job')",3
"('source', 'job', 'gets')",3
"('job', 'gets', 'completed')",3
"('gets', 'completed', 'completed')",3
"('reraun', 'successful', 'data')",3
"('source', 'database', 'issue.completed')",3
"('database', 'issue.completed', 'successfully')",3
"('issue.completed', 'successfully', 'reexecuting')",3
"('re-run', 'job', 'got')",3
"('batch', 'got', 'failed')",3
"('failed', 'due', 'schedulre')",3
"('due', 'schedulre', 'issue')",3
"('schedulre', 'issue', 're-started')",3
"('issue', 're-started', 'later')",3
"('extraction', 'issue.on', 're-run')",3
"('failed', 'due', 'unavailability')",3
"('due', 'unavailability', 'source')",3
"('unavailability', 'source', 'file')",3
"('file', 'job', 'got')",3
"('successfully', 'file', 'available')",3
"('completion', 'customer', 'matching')",3
"('failed', 'due', 'space')",3
"('due', 'space', 'issue')",3
"('lock', 'issue', 'rerunning')",3
"('issue', 'rerunning', 'job')",3
"('rerunning', 'job', 'got')",3
"('issue', 'lock', 'resolved')",3
"('lock', 'resolved', 'job')",3
"('resolved', 'job', 'got')",3
"('stats', 'manually', 'executed')",3
"('job', 'failed', 'collect')",3
"('file', 'available', 'liasing')",3
"('available', 'liasing', 'hdp')",3
"('liasing', 'hdp', 'team')",3
"('hence', 'held', 'catch')",3
"('held', 'catch', 'another')",3
"('catch', 'another', 'day')",3
"('tomorrow', ""'s"", 'batch')",3
"('manually', 'executed', 'query')",3
"('executed', 'query', 'tdata')",3
"('source', 'file', 'duplicates')",3
"('file', 'duplicates', 'removed')",3
"('removed', 'job', 'got')",3
"('updated', 'manually', 'job')",3
"('file', 'unavailability', 'later')",3
"('unavailability', 'later', 'ran')",3
"('later', 'ran', 'job')",3
"('ran', 'job', 'file')",3
"('job', 'file', 'source')",3
"('still', 'active', 'process')",3
"('completed', 'successfully', 'wrongly')",3
"('successfully', 'wrongly', 'raised')",3
"('wrongly', 'raised', 'due')",3
"('raised', 'due', 'brj')",3
"('duplicate', 'issues', 'issue')",3
"('kept', 'hold', 'didnt')",3
"('hold', 'didnt', 'receive')",3
"('didnt', 'receive', 'data')",3
"('receive', 'data', 'regular')",3
"('data', 'regular', 'basis')",3
"('active', 'stream', '21')",3
"('stream', '21', 'closed')",3
"('21', 'closed', 'job')",3
"('closed', 'job', 'restarted')",3
"('validation', 'issue', 're-running')",3
"('issue', 'released', 'lock')",3
"('got', 'completed', 'sucessfully')",3
"('tbload', 'issue', 'issus')",3
"('users', 'free', 'space')",3
"('delay', 'source', 'file')",3
"('queue', 'files', 'issue')",3
"('source', 'file', 'delay')",3
"('delay', 'receiving', 'input')",3
"('receiving', 'input', 'file.hence')",3
"('input', 'file.hence', 'job')",3
"('file.hence', 'job', 'failed')",3
"('collect', 'stats', 'failed')",2
"('unavailability', 'job', 're-started')",2
"('killed', 'manually', 'job')",2
"('manually', 'job', 'hanged')",2
"('job', 'reran', 'completed')",2
"('reran', 'completed', 'successfully')",2
"('job', 're-run', 'source')",2
"('re-run', 'source', 'file')",2
"('due', 'performance', 'issues')",2
"('login', 'timed', 'error.completed')",2
"('timed', 'error.completed', 're-run')",2
"('job', 'run', 'part')",2
"('run', 'part', 'reference')",2
"('part', 'reference', 'table')",2
"('reference', 'table', 'data')",2
"('table', 'data', 'load')",2
"('killed', 'due', 'tbload')",2
"('tbload', 'issue', 'tbload')",2
"('issue', 'tbload', 'removed')",2
"('tbload', 'removed', 'job')",2
"('collect', 'stats', 'skipped')",2
"('stats', 'skipped', 'continued')",2
"('skipped', 'continued', 'job')",2
"('data', 'issues', 'job')",2
"('issues', 'job', 'failed')",2
"('job', 'failed', 'fixing')",2
"('abended', 'due', 'duplicate/null')",2
"('due', 'duplicate/null', 'data')",2
"('duplicate/null', 'data', 'issue')",2
"('data', 'issue', 'i.e')",2
"('issue', 'i.e', 'duplicates/null')",2
"('i.e', 'duplicates/null', 'values/')",2
"('duplicates/null', 'values/', 'invalid')",2
"('values/', 'invalid', 'data')",2
"('format', 'job', 'restarted')",2
"('hence', 'job', 'killed')",2
"('job', 'killed', 'marked')",2
"('job', 'abended', 'able')",2
"('abended', 'able', 'connect')",2
"('able', 'connect', 'source')",2
"('connect', 'source', 'database')",2
"('source', 'database', 'system')",2
"('dependent', 'schedule', 'over-running')",2
"('schedule', 'over-running', 'hence')",2
"('released', 'lock', 'dropped')",2
"('lock', 'dropped', 'temp')",2
"('dropped', 'temp', 'table')",2
"('temp', 'table', 'moved')",2
"('table', 'moved', 'row')",2
"('source', 'count', 'target')",2
"('count', 'target', 'count')",2
"('count', 'validation', 'failed')",2
"('failed', 'rerun', 'job')",2
"('killed', 'tdata', 'dba')",2
"('file', 'completed', 'successfully')",2
"('file', 'available', 'completed')",2
"('available', 'completed', 're-run')",2
"('completed', 're-run', 'corrected')",2
"('re-run', 'corrected', 'file')",2
"('corrected', 'file', 'made')",2
"('job', 'run', 'successfully')",2
"('resolved', 'job', 'started')",2
"('load', 'free', 'got')",2
"('free', 'got', 'completed')",2
"('jobs', 'getting', 'failed')",2
"('getting', 'failed', 'due')",2
"('hence', 'job', 'cancelled')",2
"('got', 'hanged', 'cancelled')",2
"('hanged', 'cancelled', 'batch')",2
"('source', 'database', 'connection')",2
"('cancelling', 'batch', 'day')",2
"('file', 'issue', 'file')",2
"('extraction', 'issue', 'hene')",2
"('issue', 'hene', 'batch')",2
"('hene', 'batch', 'canceelled')",2
"('batch', 'canceelled', 'day')",2
"('unavailability.the', 'job', 'completed')",2
"('job', 'completed', 'later')",2
"('count', 'file', 'arrival')",2
"('due', 'tods', 'error.re-executed')",2
"('tods', 'error.re-executed', 'completed')",2
"('error.re-executed', 'completed', 'successfully')",2
"('run', 'next', 'day')",2
"('error', 'issue', 'resolved')",2
"('longer', 'time', 'job')",2
"('time', 'job', 'killed')",2
"('td', 'outage', 'issue')",2
"('faield', 'due', 'file')",2
"('ran', 'successfully', 'rerunning')",2
"('database', 'connection', 'timeout')",2
"('connection', 'timeout', 'tbload')",2
"('timeout', 'tbload', 'released')",2
"('released', 'job', 'restarted')",2
"('job', 'restarted', 'job')",2
"('count', 'file', 'archieve')",2
"('file', 'archieve', 'arrival')",2
"('lock', 'issue', 'manually')",2
"('issue', 'manually', 'relelased')",2
"('manually', 'relelased', 'lock')",2
"('relelased', 'lock', 're-run')",2
"('lock', 're-run', 'job')",2
"('due', 'duplicates', 'deleted')",2
"('duplicates', 'deleted', 'duplicates')",2
"('re-run', 'successfully', 'back')",2
"('extraction', 'issue', 'issue')",2
"('manually', 'collected', 'stats')",2
"('due', 'duplicates', 're-run')",2
"('job', 'got', 'success')",2
"('got', 'success', 're-run')",2
"('tbload', 'moved', 'file')",2
"('moved', 'file', 'arrival')",2
"('arrival', 'area', 'completed')",2
"('area', 'completed', 're-run')",2
"('file', 'unavailbility', 'issue')",2
"('re-run', 'job', 'back')",2
"('self-lock', 'completed', 'running')",2
"('failed', 'skipped', 'continued')",2
"('skipped', 'continued', 'batch')",2
"('job', 'completed', 'time')",2
"('job', 'completed', 'runningthe')",2
"('completed', 'runningthe', 'query')",2
"('runningthe', 'query', 'manually')",2
"('job', 'confirmed', 'success')",2
"('lock', 'occured', 'killed')",2
"('occured', 'killed', 'job')",2
"('failed', 'source', 'file')",2
"('issue', 'extraction', 'liasing')",2
"('error', 'job', 'completed')",2
"('failed', 'due', 'moload')",2
"('due', 'moload', 'release')",2
"('moload', 'release', 'completed')",2
"('release', 'completed', 'successfully')",2
"('login', 'timeout', 'expired')",2
"('timeout', 'expired', 'job')",2
"('expired', 'job', 'restarted')",2
"('failed', 'source', 'tables')",2
"('source', 'tables', 'available')",2
"('tables', 'available', 'cancelled')",2
"('available', 'cancelled', 'batch')",2
"('backlog', 'covered', 'next')",2
"('covered', 'next', 'day')",2
"('long', 'time', 'got')",2
"('time', 'got', 'hanged')",2
"('job', 'reexecuted', 'job')",2
"('reexecuted', 'job', 'got')",2
"('job.the', 'job', 'completed')",2
"('job', 'successful', 'rerun')",2
"('log', 'time', '.which')",2
"('time', '.which', 're-executed')",2
"('.which', 're-executed', 'completed')",2
"('got', 'failed', 'login')",2
"('failed', 'login', 'time')",2
"('available', 'manually', 'moved')",2
"('file', 'contacted', 'source')",2
"('duplicate', 'issues', 'issues')",2
"('issues', 'issues', 'fixed')",2
"('issues', 'fixed', 'job')",2
"('previous', 'batch', 'closed')",2
"('batch', 'closed', 'rerun')",2
"('closed', 'rerun', 'job')",2
"('pipe', 'issue', 'job')",2
"('duplicate', 'entries', 'source')",2
"('entries', 'source', 'file')",2
"('deleted', 'records', 'job')",2
"('manually', 'killed', 'job')",2
"('hence', 'batch', 'cancelled')",2
"('value', 'issue', 'fixed')",2
"('completed', 'data', 'fix')",2
"('executed', 'collect', 'stats')",2
"('job', 'failed', 'process')",2
"('failed', 'process', 'state')",2
"('failed', 'due', 'target')",2
"('due', 'target', 'count')",2
"('validation', 'job', 'successful')",2
"('job', 're-run', 'removing')",2
